ejecucion_utc,cierre_fecha,cierre_usd,sma50,sma100,sma150,sma200,peso_anterior,peso_objetivo,accion,cantidad_btc,precio_ejecucion_usd,comision_usd,efectivo_usd,btc,precio_valoracion_usd,capital_usd,capital_al_cierre_usd,modelo_al_cierre_usd,diferencia_vs_modelo_pct,nota
2026-09-23T10:22:25Z,2026-09-22,86193.99,74125.43,68713.86,70450.62,70675.88,,1.0,compra,0.000269817,85768.69,0.057855,0.000296,0.000269817,85769.51,23.1424,23.2569,23.1421,0.5,
2026-09-24T11:53:07Z,2026-09-23,84382.3,74531.82,68894.85,70488.75,70761.45,1.0,1.0,mantener,,,,0.000296,0.000269817,83381.09,22.4979,22.7681,22.6557,0.5,
2026-09-25T11:56:09Z,2026-09-24,84385.74,74927.63,69082.63,70535.57,70853.53,1.0,1.0,mantener,,,,0.000296,0.000269817,84592.39,22.8248,22.769,22.6567,0.5,
2026-09-26T11:30:31Z,2026-09-25,84085.5,75324.18,69279.1,70587.34,70931.76,1.0,1.0,mantener,,,,0.000296,0.000269817,84157.5,22.7074,22.688,22.576,0.5,
